"clause_text","clause_type","risk_level"
"Any claim or dispute arising in connection with this Agreement shall be resolved by a sole arbitrator appointed under and in accordance with the Arbitration and Conciliation Act, 1996. The arbitration shall be held in Bengaluru. The language of the proceedings shall be English.","Arbitration","medium"
"In the event that any dispute arises out of the performance or interpretation of this Agreement, the Parties shall refer the same to arbitration under the Arbitration and Conciliation Act, 1996. The seat of arbitration shall be Chennai and the award shall be enforceable as a decree of the court.","Arbitration","medium"
"All disputes relating to this Agreement shall be settled by arbitration as per the provisions of the Arbitration and Conciliation Act, 1996 (as amended). The arbitration shall be seated in Pune and conducted by a sole arbitrator jointly appointed by the Parties.","Arbitration","medium"
"Any dispute arising from this Agreement shall be resolved exclusively through arbitration conducted in Mumbai pursuant to the Arbitration and Conciliation Act, 1996. The decision of the arbitrator shall be final and binding and may be enforced in any court having jurisdiction.","Arbitration","medium"
"Disputes between the Parties shall be resolved by arbitration administered by the Delhi International Arbitration Centre (DIAC) under its Arbitration Rules. The seat shall be New Delhi, the language English, and the number of arbitrators shall be one.","Arbitration","medium"
"In case of any dispute arising under this Agreement, the Parties agree to submit such dispute to arbitration in Hyderabad before a sole arbitrator appointed in accordance with the Arbitration and Conciliation Act, 1996. The proceedings shall be completed within six (6) months of the appointment of the arbitrator.","Arbitration","medium"
"Any dispute, difference or question that may arise at any time hereafter between the Parties in connection with this Agreement shall be referred to a sole arbitrator under the Arbitration and Conciliation Act, 1996. The seat of arbitration shall be Kolkata and the arbitrator's award shall be final and binding.","Arbitration","medium"
"The Parties agree that any claim or dispute arising out of this Agreement shall be submitted to arbitration before a tribunal of three arbitrators, each Party appointing one, and the third being appointed by the two party-appointed arbitrators under the Arbitration and Conciliation Act, 1996. The seat shall be Mumbai.","Arbitration","medium"
"All disputes, controversies or differences arising out of or in connection with this Agreement which are not resolved through amicable settlement shall be submitted to arbitration in accordance with the Arbitration and Conciliation Act, 1996. The venue of arbitration shall be Bengaluru.","Arbitration","medium"
"If any dispute arises between the Parties hereto during the subsistence of this Agreement or thereafter, the same shall be settled by arbitration under the Arbitration and Conciliation Act, 1996 and the award made in pursuance thereof shall be binding on the Parties. The seat of arbitration shall be New Delhi.","Arbitration","medium"
"Any controversy arising out of or relating to this Agreement, or the breach thereof, shall be settled by arbitration administered by the Indian Council of Arbitration at New Delhi in accordance with its Arbitration Rules. The language of arbitration shall be English.","Arbitration","medium"
"Disputes that cannot be settled amicably shall be resolved by binding arbitration before a sole arbitrator at Mumbai. The arbitration shall be governed by the provisions of the Arbitration and Conciliation Act, 1996 and the costs shall be borne equally by the Parties unless the arbitrator directs otherwise.","Arbitration","medium"
"In the event of any difference of opinion or dispute arising between the Parties in connection with this Agreement, such dispute shall be referred to arbitration by a sole arbitrator under the Arbitration and Conciliation Act, 1996, with the seat at Chennai.","Arbitration","medium"
"Any dispute arising under this Agreement that is not resolved within thirty (30) days shall be referred to arbitration under the Arbitration and Conciliation Act, 1996. The arbitration shall be seated in Ahmedabad and conducted before a panel of three arbitrators, one appointed by each party and the third by the two so appointed.","Arbitration","medium"
"The Parties agree to resolve any dispute arising under this Agreement through fast-track arbitration under Section 29B of the Arbitration and Conciliation Act, 1996. The seat shall be Mumbai and the proceedings shall be completed within six months.","Arbitration","medium"
"All disputes relating to this Agreement shall be referred to arbitration under the Arbitration and Conciliation Act, 1996. The arbitrator shall be appointed by the President of the Bar Council of Maharashtra. The seat of arbitration shall be Pune.","Arbitration","medium"
"Any dispute or disagreement between the Parties arising from this Agreement shall be submitted to arbitration in Bengaluru. The Parties shall appoint a sole arbitrator by mutual agreement. Failing agreement within fifteen (15) days, the arbitrator shall be appointed by the High Court of Karnataka under the Arbitration and Conciliation Act, 1996.","Arbitration","medium"
"Disputes arising out of or in connection with this Agreement shall be resolved by arbitration under the MCIA Rules. The seat of arbitration shall be Mumbai, the number of arbitrators shall be three, and the language of the proceedings shall be English.","Arbitration","medium"
"Any dispute between the Parties which cannot be resolved by amicable discussion within sixty (60) days shall be referred to a sole arbitrator at Hyderabad in accordance with the Arbitration and Conciliation Act, 1996. The award of the arbitrator shall be final and binding.","Arbitration","medium"
"Disputes shall be referred to and resolved by arbitration in New Delhi pursuant to the Arbitration and Conciliation Act, 1996. The arbitral tribunal shall consist of a sole arbitrator agreed upon by the Parties. All hearings shall be conducted in English.","Arbitration","medium"
"If the Parties are unable to settle any dispute arising under this Agreement by mutual agreement, the dispute shall be submitted to arbitration before the Delhi International Arbitration Centre. The seat shall be New Delhi and the proceedings shall be in English.","Arbitration","medium"
"In the event of any dispute arising out of or relating to this Agreement, including any question of breach or termination, the Parties agree to refer the dispute to a sole arbitrator appointed jointly. The seat of arbitration shall be Kolkata and the governing law shall be the Arbitration and Conciliation Act, 1996.","Arbitration","medium"
"Any dispute arising in connection with this Agreement shall be resolved by binding arbitration in Chennai pursuant to the Arbitration and Conciliation Act, 1996 as amended. The arbitral award shall be in writing, reasoned, and final and binding on the Parties.","Arbitration","medium"
"The Parties agree to resolve all disputes by arbitration at Bengaluru before a tribunal of three arbitrators constituted under the Arbitration and Conciliation Act, 1996. The presiding arbitrator shall be appointed by mutual agreement of the party-appointed arbitrators.","Arbitration","medium"
"Except as otherwise specified, any dispute shall be exclusively resolved by arbitration in Mumbai under the Arbitration and Conciliation Act, 1996 before a sole arbitrator. The proceedings and award shall be in English.","Arbitration","medium"
"Any controversy between the Parties shall be submitted to arbitration conducted by a sole arbitrator appointed by the Parties. If the Parties cannot agree on an arbitrator within fifteen (15) days, the arbitrator shall be appointed by the High Court of Bombay. The seat shall be Mumbai.","Arbitration","medium"
"Disputes shall be resolved by arbitration under the Arbitration and Conciliation Act, 1996 in Pune. The arbitral proceedings shall be conducted in English and each Party shall bear its own costs unless the arbitrator directs otherwise.","Arbitration","medium"
"All disputes and differences of whatsoever nature shall be settled by arbitration at New Delhi in accordance with the Arbitration and Conciliation Act, 1996. The Parties agree that the arbitral award shall be final and not subject to appeal except as permitted under the Act.","Arbitration","medium"
"Any matter in dispute shall be referred to arbitration before a sole arbitrator appointed in accordance with the Arbitration and Conciliation Act, 1996. The seat of arbitration shall be Bengaluru, Karnataka, and the arbitration shall be conducted in English.","Arbitration","medium"
"If any dispute arises out of or relates to this Agreement, or the breach, termination or invalidity thereof, the Parties agree to submit the dispute to arbitration at Mumbai under the Arbitration and Conciliation Act, 1996. The arbitrator's fee shall be shared equally by the Parties.","Arbitration","medium"
"Disputes shall be resolved by a sole arbitrator appointed by the President of the Institute of Company Secretaries of India. The arbitration shall be seated at New Delhi and governed by the Arbitration and Conciliation Act, 1996.","Arbitration","medium"
"Any unresolved dispute shall be submitted to arbitration at Hyderabad under the Arbitration and Conciliation Act, 1996. The number of arbitrators shall be one and the language of arbitration shall be English. The arbitral award shall be final and binding.","Arbitration","medium"
"Disputes arising out of this Agreement shall be referred to a panel of three arbitrators under the Arbitration and Conciliation Act, 1996. The seat shall be Chennai. Each Party shall bear its own costs and the fees of the panel shall be shared equally.","Arbitration","medium"
"Any dispute arising in connection with this Agreement shall be referred to final and binding arbitration pursuant to the Arbitration and Conciliation Act, 1996. The seat of arbitration shall be Ahmedabad. The award of the arbitral tribunal shall be enforceable in any court of competent jurisdiction.","Arbitration","medium"
"The Parties shall attempt to resolve all disputes amicably within twenty-one (21) days. Failing resolution, the dispute shall be submitted to arbitration at Mumbai under the Arbitration and Conciliation Act, 1996 before a sole arbitrator agreed upon by the Parties.","Arbitration","medium"
"Disputes shall be resolved by arbitration at Kolkata in accordance with the Arbitration and Conciliation Act, 1996. The arbitrator shall be a retired Judge of the High Court of Calcutta, appointed by mutual consent of the Parties.","Arbitration","medium"
"Any dispute arising under this Agreement shall be submitted to arbitration under the auspices of the Nani Palkhivala Arbitration Centre at Chennai in accordance with its Rules. The seat shall be Chennai and the language shall be English.","Arbitration","medium"
"All disputes relating to this Agreement shall be resolved by a sole arbitrator in New Delhi under the Arbitration and Conciliation Act, 1996. The award shall be delivered within four months of the reference to arbitration and shall be final and binding on both Parties.","Arbitration","medium"
"Each Party agrees to hold in strict confidence all Confidential Information received from the other Party and not to disclose such Confidential Information to any third party without the prior written consent of the disclosing Party. This obligation shall survive termination of this Agreement for a period of five (5) years.","Confidentiality","medium"
"The Receiving Party shall treat all Confidential Information of the Disclosing Party as strictly confidential and shall not disclose, reproduce or use such information for any purpose other than the performance of its obligations under this Agreement.","Confidentiality","medium"
"Each Party undertakes to keep confidential all proprietary, technical and commercial information disclosed by the other Party and shall use the same only for the purposes contemplated under this Agreement. The obligation of confidentiality shall survive for three (3) years after the expiry or termination of this Agreement.","Confidentiality","medium"
"The Receiving Party shall not disclose any Confidential Information to any person, firm or company without the prior written approval of the Disclosing Party, except to its employees or consultants who need to know such information for the purposes of this Agreement and who are bound by similar confidentiality obligations.","Confidentiality","medium"
"Both Parties agree that any information exchanged between them in connection with this Agreement, whether oral, written or electronic, which is marked as confidential or which by its nature would reasonably be considered confidential, shall be treated as Confidential Information and not disclosed to any third party.","Confidentiality","medium"
"The Service Provider shall maintain the confidentiality of all data and information pertaining to the Client's business operations, customers, pricing, trade secrets and technical know-how, and shall not disclose the same to any third party during the term of this Agreement and for a period of two (2) years thereafter.","Confidentiality","medium"
"Each Party shall protect the other Party's Confidential Information with the same degree of care as it uses to protect its own confidential information of a similar nature, but in no event less than reasonable care. Neither Party shall use the other's Confidential Information for any purpose beyond the scope of this Agreement.","Confidentiality","medium"
"The Consultant agrees to keep all client data, business strategies, technical information and financial details obtained during the course of this engagement strictly confidential. The Consultant shall not use such information for its own benefit or for the benefit of any competitor of the Client.","Confidentiality","medium"
"All information disclosed by one Party to the other in connection with this Agreement shall be deemed Confidential Information. Neither Party shall disclose, publish or divulge such information to any third party without prior written consent. This obligation of non-disclosure shall survive for three (3) years after termination.","Confidentiality","medium"
"The Employee acknowledges that in the course of employment they will have access to confidential and proprietary information of the Company, including trade secrets, customer lists, business plans and technical data. The Employee agrees not to disclose such information during or after employment.","Confidentiality","medium"
"The Receiving Party shall not, without the prior written consent of the Disclosing Party, disclose the Confidential Information to any person other than those of its officers and employees who require access to such information solely for the purposes of this Agreement.","Confidentiality","medium"
"The Parties shall keep confidential all technical specifications, designs, processes, formulas, and business information exchanged under this Agreement. This obligation shall remain in force during the term of this Agreement and for a period of four (4) years following its termination.","Confidentiality","medium"
"The Recipient agrees that it will hold in confidence all Confidential Information received from the Discloser. The Recipient will not disclose such information to any third party and will use it solely in connection with the evaluation and performance of this Agreement.","Confidentiality","medium"
"The Vendor shall treat all information relating to the Client's business, operations, customers and financial affairs as strictly confidential and shall implement appropriate technical and organisational safeguards to prevent unauthorised access or disclosure, in compliance with the Information Technology Act, 2000.","Confidentiality","medium"
"All information shared between the Parties under this Agreement, including software source code, algorithms, business data and customer information, shall be treated as Confidential Information and shall not be disclosed to any third party without prior written consent for a period of five (5) years after termination.","Confidentiality","medium"
"The Receiving Party undertakes not to reproduce, duplicate, copy or use the Confidential Information except as necessary for the purposes of this Agreement. Upon termination, the Receiving Party shall promptly return or destroy all Confidential Information on the request of the Disclosing Party.","Confidentiality","medium"
"Each Party agrees to protect the other's Confidential Information from unauthorised use or disclosure with at least the same degree of care it applies to its own confidential information. The Parties acknowledge that breach of this clause may cause irreparable harm entitling the affected Party to seek injunctive relief.","Confidentiality","medium"
"The Developer shall not disclose to any third party any technical, financial or commercial information received from the Client and shall use such information solely for the purposes of delivering the services contemplated under this Agreement. This obligation continues for two (2) years post-termination.","Confidentiality","medium"
"The Parties shall ensure that their respective employees, agents and sub-contractors who are given access to Confidential Information are bound by obligations of confidentiality no less stringent than those contained in this Agreement.","Confidentiality","medium"
"The obligations of confidentiality under this Agreement shall not apply to information that: (a) is or becomes publicly available without breach of this Agreement; (b) was already known to the Receiving Party before disclosure; (c) is independently developed by the Receiving Party; or (d) is required to be disclosed by law or court order.","Confidentiality","medium"
"Except as required by applicable law or stock exchange regulations, neither Party shall disclose the terms or existence of this Agreement or the Confidential Information of the other Party to any third party without the other Party's prior written consent.","Confidentiality","medium"
"The Receiving Party agrees that all Confidential Information disclosed by the Disclosing Party remains the exclusive property of the Disclosing Party. No license, express or implied, is granted to the Receiving Party with respect to such Confidential Information except as expressly set forth in this Agreement.","Confidentiality","medium"
"The Partner shall not, during the continuance of this Agreement or at any time after its termination, disclose to any third party or use for its own account any of the trade secrets, technical know-how or confidential business information of the Company.","Confidentiality","medium"
"Both Parties acknowledge that information relating to customers, pricing strategies, product roadmaps and financial performance disclosed under this Agreement constitutes proprietary and confidential information of the disclosing Party and shall be maintained in confidence for a period of three (3) years after termination.","Confidentiality","medium"
"The Sub-contractor shall keep confidential all materials, drawings, specifications and instructions furnished by the Principal and shall not reproduce, use or disclose such materials to any person without the Principal's written consent, both during the term of this Agreement and thereafter indefinitely.","Confidentiality","medium"
"The Receiving Party shall limit disclosure of Confidential Information to those of its employees and professional advisers who have a strict need to know and who are bound by written confidentiality obligations at least as protective as those contained herein.","Confidentiality","medium"
"All source code, technical documentation, database schemas, API specifications and other technical information shared between the Parties shall constitute Confidential Information and shall not be disclosed to any third party or used for any purpose other than performance of this Agreement.","Confidentiality","medium"
"The Franchisee shall maintain the confidentiality of all Franchisor proprietary systems, operational manuals, recipes, formulae and customer data and shall not disclose the same to any person during or after the term of this Agreement without the prior written consent of the Franchisor.","Confidentiality","medium"
"The Parties agree that all information exchanged during the due diligence process and after execution of this Agreement, including financial data, customer contracts and intellectual property details, shall be treated as Confidential Information and shall not be disclosed to any third party.","Confidentiality","medium"
"The confidentiality obligations contained in this Agreement shall survive the expiry or termination of this Agreement for a period of five (5) years. Upon expiry of such period, information that qualifies as a trade secret shall remain protected indefinitely under applicable Indian law.","Confidentiality","medium"
"The Agent agrees to hold all information about the Principal's products, pricing, clients and business strategies in the strictest confidence and not to use the same for any purpose other than the performance of its duties under this Agreement.","Confidentiality","medium"
"The Receiving Party agrees to take all reasonable precautions to prevent the unauthorised disclosure or use of the Confidential Information, including implementing access controls, security protocols and employee training, and shall promptly notify the Disclosing Party upon discovery of any breach.","Confidentiality","medium"
"Upon termination or expiry of this Agreement, the Receiving Party shall, at the Disclosing Party's option, promptly return all documents, materials, and other tangible evidence of any Confidential Information or certify in writing that all such materials have been destroyed.","Confidentiality","medium"
"The Vendor shall not disclose or transfer any personal data or sensitive personal information processed under this Agreement to any third party except as required for performance of services and in compliance with the Information Technology (Amendment) Act, 2008 and applicable data protection rules.","Confidentiality","medium"
"Each Party agrees to use the Confidential Information of the other Party only in connection with the purpose of this Agreement and shall not use it to compete with the other Party or for any other commercial purpose.","Confidentiality","medium"
"The licensee shall maintain strict confidentiality of the licensed technology, trade secrets, and proprietary processes disclosed by the licensor and shall not disclose the same to any third party without prior written consent during the term and for three (3) years after termination.","Confidentiality","medium"
"The Receiving Party acknowledges that the Confidential Information is valuable and proprietary and that any unauthorised use or disclosure could cause substantial harm to the Disclosing Party. Accordingly, the Receiving Party shall treat the Confidential Information with the highest degree of care.","Confidentiality","medium"
"Neither Party shall make any public statement, press release or announcement regarding the existence of this Agreement, the transactions contemplated herein, or any Confidential Information without the prior written consent of the other Party.","Confidentiality","medium"
"The Joint Venture Parties mutually agree to keep all information relating to the joint venture business, including financial projections, strategic plans, technology and trade secrets, strictly confidential and shall not disclose such information to third parties without mutual written consent.","Confidentiality","medium"
"The confidentiality obligations under this Agreement shall bind the Receiving Party's successors, assigns, subsidiaries and affiliated entities to the same extent as they bind the Receiving Party.","Confidentiality","medium"
"The Outsourcing Partner undertakes that it will not directly or indirectly disclose, copy, reproduce or make available to any third party any Confidential Information it receives from the Client, and will promptly notify the Client of any attempted breach.","Confidentiality","medium"
"All Confidential Information disclosed under this Agreement is provided on a need-to-know basis only and solely for the purpose stated herein. The Receiving Party shall not use the Confidential Information for reverse engineering, competitive intelligence or any other unauthorised purpose.","Confidentiality","medium"
"The Receiving Party agrees that any breach of its confidentiality obligations hereunder shall entitle the Disclosing Party to seek specific performance and injunctive relief without the requirement to prove actual damage, in addition to any other remedies available under Indian law.","Confidentiality","medium"
"The contractor shall not, without prior written approval from the client, publish, post or otherwise disclose any Confidential Information including client business data, financial information, software systems and customer details, in any media whether print, electronic or otherwise.","Confidentiality","medium"
"Both Parties shall designate a confidentiality officer responsible for ensuring compliance with the confidentiality obligations under this Agreement and shall implement appropriate internal policies and procedures to prevent unauthorised disclosure.","Confidentiality","medium"
"The Receiving Party shall not communicate any Confidential Information to any person except its own employees who need the information to perform obligations under this Agreement, and who have signed confidentiality agreements with the Receiving Party on terms no less restrictive than this clause.","Confidentiality","medium"
"The Parties agree that the obligations of confidentiality under this Agreement are a material term and that any breach thereof shall entitle the non-breaching Party to terminate this Agreement immediately and claim damages under the Indian Contract Act, 1872.","Confidentiality","medium"
"All information provided to the Due Diligence team by the target company, including financial statements, litigation records, customer data and intellectual property details, shall be treated as Confidential Information and shall not be disclosed to any party not involved in the proposed transaction.","Confidentiality","medium"
"The Channel Partner agrees to maintain the confidentiality of the Principal's pricing policies, discount structures, customer lists and product development roadmaps and shall not disclose such information to competing vendors or use such information for its own benefit.","Confidentiality","medium"
"The Receiving Party shall store all Confidential Information in a secure location accessible only to authorised personnel and shall promptly notify the Disclosing Party in writing if it becomes aware of any loss, theft or unauthorised access to the Confidential Information.","Confidentiality","medium"
"The Service Provider shall indemnify, defend and hold harmless the Client and its directors, officers and employees from and against any and all claims, losses, damages, liabilities, costs and expenses (including reasonable legal fees) arising out of or in connection with any breach of this Agreement by the Service Provider.","Indemnification","high"
"The Vendor shall indemnify and hold harmless the Purchaser from and against all third-party claims, actions, suits and proceedings, and all related damages, liabilities, settlements, judgments, costs and expenses, arising out of any defect in the goods supplied under this Agreement.","Indemnification","high"
"Each Party (the Indemnifying Party) shall indemnify the other Party (the Indemnified Party) against all losses, claims, damages and expenses suffered or incurred by the Indemnified Party as a result of the Indemnifying Party's breach of its representations, warranties or covenants under this Agreement.","Indemnification","high"
"The Contractor shall indemnify and keep indemnified the Client from all claims, demands, proceedings, damages, costs, charges and expenses whatsoever in respect of or arising out of any act or omission, negligence or wilful misconduct of the Contractor or its sub-contractors in connection with this Agreement.","Indemnification","high"
"The Software Developer shall indemnify the Client against all claims, damages and costs (including legal costs on a full indemnity basis) arising from any claim that the Software infringes the intellectual property rights of any third party.","Indemnification","high"
"The Licensee shall indemnify and hold harmless the Licensor from and against any and all claims arising from the Licensee's use of the licensed technology in a manner not authorised by this Agreement or in violation of applicable law.","Indemnification","high"
"The Company shall indemnify its officers, directors and employees against all claims, losses, penalties, fines, judgments and expenses incurred by them in their official capacity, arising from any act or omission done in good faith in the performance of their duties, consistent with the provisions of the Companies Act, 2013.","Indemnification","high"
"The Supplier shall indemnify the Buyer from and against all losses, costs, damages and expenses resulting from any product liability claim arising from defects in the products supplied, whether due to design, manufacture or failure to warn.","Indemnification","high"
"Each Party shall defend, indemnify and hold harmless the other Party from and against all third-party claims arising out of or relating to: (a) any breach of this Agreement; (b) any infringement of third-party intellectual property rights; or (c) any gross negligence or wilful misconduct.","Indemnification","high"
"The Distributor shall indemnify and keep indemnified the Manufacturer against all actions, suits, claims, demands, losses, damages, costs and expenses which the Manufacturer may suffer or incur by reason of any act or default of the Distributor.","Indemnification","high"
"The Indemnifying Party shall promptly assume the defense of any claim for which indemnification is sought, at its own cost, and shall not settle any claim without the prior written consent of the Indemnified Party, such consent not to be unreasonably withheld.","Indemnification","high"
"The Outsourcing Vendor shall indemnify the Client against any and all penalties, fines, damages, costs and expenses imposed on the Client by any governmental authority arising from the Vendor's failure to comply with applicable laws, regulations or standards in the performance of services.","Indemnification","high"
"The Franchisor shall indemnify the Franchisee against all third-party claims arising from defects in the Franchisor's proprietary products and systems, while the Franchisee shall indemnify the Franchisor against all claims arising from the Franchisee's operation of the franchise.","Indemnification","high"
"The Consultant agrees to indemnify and hold harmless the Client from any claims by third parties arising from the Consultant's advice or services under this Agreement, to the extent caused by the Consultant's negligence, fraud or wilful default.","Indemnification","high"
"The Service Provider shall indemnify the Client against all claims arising from data breaches, loss of data or unauthorised disclosure of personal information occurring as a result of the Service Provider's failure to implement adequate security measures as required under this Agreement.","Indemnification","high"
"The Tenant shall indemnify and hold harmless the Landlord from all claims, losses, damages and expenses arising from the Tenant's use of the premises, including any breach of applicable laws, damage to third-party property or injury to third parties.","Indemnification","high"
"The Indemnified Party shall give the Indemnifying Party prompt written notice of any claim for which indemnification is sought, and the Indemnifying Party shall have the right to control the defense and settlement of such claim, subject to the Indemnified Party's reasonable cooperation.","Indemnification","high"
"The Receiving Party shall indemnify the Disclosing Party against all losses, damages and costs incurred as a result of any breach of the confidentiality obligations or unauthorised disclosure of Confidential Information under this Agreement.","Indemnification","high"
"The Borrower shall indemnify the Lender against all costs, charges, expenses and losses incurred by the Lender in connection with the enforcement of its rights under this Agreement, including legal fees and any costs of recovering the outstanding loan amount.","Indemnification","high"
"Each Party shall be responsible for and shall indemnify the other Party against all claims, losses, damages, expenses or liabilities arising from any breach of applicable data protection laws, including the Information Technology Act, 2000 and the rules made thereunder.","Indemnification","high"
"The Contractor shall keep the Client fully indemnified from and against any loss, damage, cost, expense or liability in respect of any claim made under the Employees Compensation Act, 1923 or the Employees State Insurance Act, 1948 arising from the employment of the Contractor's personnel.","Indemnification","high"
"The Seller shall indemnify, defend and hold harmless the Buyer and its affiliates from and against any and all environmental claims, liabilities, costs and expenses arising from the Seller's operations prior to the date of transfer of assets under this Agreement.","Indemnification","high"
"The Service Provider agrees to indemnify and hold harmless the Client from any tax liabilities, penalties or interest imposed on the Client as a consequence of the Service Provider's failure to discharge its tax obligations under the Goods and Services Tax Act, 2017.","Indemnification","high"
"The Manufacturer shall indemnify the Reseller from and against all claims by end-users arising from defects in the Manufacturer's products, including product liability claims, warranty claims and any regulatory penalties related to product non-compliance.","Indemnification","high"
"The indemnification obligations set forth in this Agreement shall survive the expiry or termination of this Agreement for a period of three (3) years or until all pending claims have been finally resolved, whichever is later.","Indemnification","high"
"The Developer shall indemnify the Client against any claim brought by a third party alleging that any software, deliverable or documentation produced under this Agreement infringes or misappropriates such third party's copyright, patent or trade secret rights.","Indemnification","high"
"Neither Party shall be required to indemnify the other Party for indirect, consequential, special or punitive damages, even if advised of the possibility of such damages, except in cases of fraud, gross negligence or wilful misconduct.","Indemnification","high"
"The Lessee shall indemnify and hold harmless the Lessor from all claims, demands, suits, proceedings, damages, costs and expenses arising from any act or omission of the Lessee, its employees, agents or sub-lessees in connection with the leased property.","Indemnification","high"
"The Agent shall indemnify the Principal from and against all third-party claims arising out of acts or omissions of the Agent that are outside the scope of authority granted under this Agreement or that constitute breach of fiduciary duty.","Indemnification","high"
"The maximum aggregate liability of the Indemnifying Party under this Agreement shall not exceed the total fees paid or payable by the Client to the Service Provider in the six (6) months immediately preceding the event giving rise to the claim, except in cases of death, personal injury or fraud.","Indemnification","high"
"The Indemnifying Party's obligations under this clause are conditioned upon: (a) the Indemnified Party giving prompt written notice of any claim; (b) the Indemnifying Party having sole control of the defense; and (c) the Indemnified Party providing reasonable assistance at the Indemnifying Party's expense.","Indemnification","high"
"As defined under Section 124 of the Indian Contract Act, 1872, the Service Provider agrees to save the Client harmless from loss caused to the Client by the conduct of the Service Provider. The rights of the indemnity holder when sued shall be as defined in Section 125 of the Indian Contract Act, 1872.","Indemnification","high"
"The Sub-contractor shall indemnify the Main Contractor against all claims, damages, losses and expenses (including reasonable attorneys' fees) arising out of the Sub-contractor's breach of this Agreement or any act, omission or negligence of the Sub-contractor or its personnel.","Indemnification","high"
"The Platform Provider shall indemnify and hold harmless the Merchant from all claims, losses, damages and costs arising from the Platform Provider's failure to maintain platform availability, security and data integrity as committed under the Service Level Agreement.","Indemnification","high"
"The Borrower shall indemnify the Bank from all claims, damages, costs and expenses arising from the Borrower's misrepresentation of information in connection with the loan application or from the Borrower's use of the loan for purposes not permitted under this Agreement.","Indemnification","high"
"The insurer shall indemnify the insured against all losses specified in the policy schedule, subject to the terms, conditions, exclusions and limits of liability set out therein, in accordance with applicable insurance regulations and the Indian Contract Act, 1872.","Indemnification","high"
"The Technology Partner shall indemnify the Client against all losses and expenses arising from any claim that the use of the Technology Partner's platform, tools or software infringes the intellectual property rights of a third party under Indian or applicable foreign law.","Indemnification","high"
"The Seller warrants that the goods are free from all encumbrances and defects and shall indemnify the Buyer against all loss, damage, cost and expense which the Buyer may sustain as a result of any breach of the Seller's warranties or title defects discovered after transfer.","Indemnification","high"
"The importer shall indemnify the exporter against all duties, penalties, fines, levies or other charges imposed by Indian customs or regulatory authorities as a result of the importer's misclassification, misdeclaration or non-compliance with import regulations.","Indemnification","high"
"The Employer shall indemnify the Employee for all reasonable costs and expenses incurred by the Employee in defending legal proceedings brought against the Employee in connection with the proper performance of the Employee's duties, where the Employee has acted in good faith.","Indemnification","high"
"The Technology Licensor shall indemnify the Licensee against all claims, demands, damages, costs and expenses (including reasonable legal fees) arising from any allegation that the licensed technology or its use under this Agreement infringes a third party's intellectual property rights.","Indemnification","high"
